PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Heinze, Stefan; von Bergmann, Kirsten; Menzel, Matthias; Brede, Jens; Kubetzka, Andre; Wiesendanger, Roland; Bihlmayer, Gustav; Bluegel, Stefan								Spontaneous atomic-scale magnetic skyrmion lattice in two dimensions								NATURE PHYSICS				7	9			713	718		10.1038/NPHYS2045			SEP 2011	2011										745							WOS:000294485400019		
J	Alicea, Jason								Majorana fermions in a tunable semiconductor device								PHYSICAL REVIEW B				81	12					125318	10.1103/PhysRevB.81.125318			MAR 2010	2010										741							WOS:000276248900102		
J	Chernikov, Alexey; Berkelbach, Timothy C.; Hill, Heather M.; Rigosi, Albert; Li, Yilei; Aslan, Ozgur Burak; Reichman, David R.; Hybertsen, Mark S.; Heinz, Tony F.								Exciton Binding Energy and Nonhydrogenic Rydberg Series in Monolayer WS2								PHYSICAL REVIEW LETTERS				113	7					076802	10.1103/PhysRevLett.113.076802			AUG 13 2014	2014										725							WOS:000341115700020		
J	Mak, K. F.; McGill, K. L.; Park, J.; McEuen, P. L.								The valley Hall effect in MoS2 transistors								SCIENCE				344	6191			1489	1492		10.1126/science.1250140			JUN 27 2014	2014										721							WOS:000337889900043		
J	Ando, Yoichi								Topological Insulator Materials								JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN				82	10					102001	10.7566/JPSJ.82.102001			OCT 2013	2013										715							WOS:000325108000001		
J	Wang, Zhijun; Weng, Hongming; Wu, Quansheng; Dai, Xi; Fang, Zhong								Three-dimensional Dirac semimetal and quantum transport in Cd3As2								PHYSICAL REVIEW B				88	12					125427	10.1103/PhysRevB.88.125427			SEP 23 2013	2013										715							WOS:000324690500009		
J	Gardner, Jason S.; Gingras, Michel J. P.; Greedan, John E.								Magnetic pyrochlore oxides								REVIEWS OF MODERN PHYSICS				82	1			53	107		10.1103/RevModPhys.82.53			JAN-MAR 2010	2010										715							WOS:000276184000002		
J	Uchida, K.; Xiao, J.; Adachi, H.; Ohe, J.; Takahashi, S.; Ieda, J.; Ota, T.; Kajiwara, Y.; Umezawa, H.; Kawai, H.; Bauer, G. E. W.; Maekawa, S.; Saitoh, E.								Spin Seebeck insulator								NATURE MATERIALS				9	11			894	897		10.1038/NMAT2856			NOV 2010	2010										705							WOS:000283353700017		
J	Fath, M; Freisem, S; Menovsky, AA; Tomioka, Y; Aarts, J; Mydosh, JA								Spatially inhomogeneous metal-insulator transition in doped manganites								SCIENCE				285	5433			1540	1542		10.1126/science.285.5433.1540			SEP 3 1999	1999										703							WOS:000082359500057		
J	Joerdens, Robert; Strohmaier, Niels; Guenther, Kenneth; Moritz, Henning; Esslinger, Tilman								A Mott insulator of fermionic atoms in an optical lattice								NATURE				455	7210			204	U34		10.1038/nature07244			SEP 11 2008	2008										692							WOS:000259090800042		
J	Fabian, Jaroslav; Matos-Abiague, Alex; Ertler, Christian; Stano, Peter; Zutic, Igor								Semiconductor spintronics								ACTA PHYSICA SLOVACA				57	4-5			565	907		10.2478/v10155-010-0086-8			AUG-OCT 2007	2007										688							WOS:000249789600001		
J	Neupane, Madhab; Xu, Su-Yang; Sankar, Raman; Alidoust, Nasser; Bian, Guang; Liu, Chang; Belopolski, Ilya; Chang, Tay-Rong; Jeng, Horng-Tay; Lin, Hsin; Bansil, Arun; Chou, Fangcheng; Hasan, M. Zahid								Observation of a three-dimensional topological Dirac semimetal phase in high-mobility Cd3As2								NATURE COMMUNICATIONS				5						3786	10.1038/ncomms4786			MAY 2014	2014										678							WOS:000337371600001		
J	Xu, Gang; Weng, Hongming; Wang, Zhijun; Dai, Xi; Fang, Zhong								Chern Semimetal and the Quantized Anomalous Hall Effect in HgCr2Se4								PHYSICAL REVIEW LETTERS				107	18					186806	10.1103/PhysRevLett.107.186806			OCT 27 2011	2011										673							WOS:000297004200022		
