PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Esteve, J.; Gross, C.; Weller, A.; Giovanazzi, S.; Oberthaler, M. K.								Squeezing and entanglement in a Bose-Einstein condensate								NATURE				455	7217			1216	1219		10.1038/nature07332			OCT 30 2008	2008										469							WOS:000260462100038		
J	Gring, M.; Kuhnert, M.; Langen, T.; Kitagawa, T.; Rauer, B.; Schreitl, M.; Mazets, I.; Smith, D. Adu; Demler, E.; Schmiedmayer, J.								Relaxation and Prethermalization in an Isolated Quantum System								SCIENCE				337	6100			1318	1322		10.1126/science.1224953			SEP 14 2012	2012										467							WOS:000308705000036		
J	Fleischer, JW; Carmon, T; Segev, M; Efremidis, NK; Christodoulides, DN								Observation of discrete solitons in optically induced real time waveguide arrays								PHYSICAL REVIEW LETTERS				90	2					023902	10.1103/PhysRevLett.90.023902			JAN 17 2003	2003										466							WOS:000180444200018		
J	Barreiro, Julio T.; Mueller, Markus; Schindler, Philipp; Nigg, Daniel; Monz, Thomas; Chwalla, Michael; Hennrich, Markus; Roos, Christian F.; Zoller, Peter; Blatt, Rainer								An open-system quantum simulator with trapped ions								NATURE				470	7335			486	491		10.1038/nature09801			FEB 24 2011	2011										462							WOS:000287652900032		
J	Ludlow, Andrew D.; Boyd, Martin M.; Ye, Jun; Peik, E.; Schmidt, P. O.								Optical atomic clocks								REVIEWS OF MODERN PHYSICS				87	2			637	701		10.1103/RevModPhys.87.637			JUN 26 2015	2015										460							WOS:000356931300001		
J	Buluta, Iulia; Nori, Franco								Quantum Simulators								SCIENCE				326	5949			108	111		10.1126/science.1177838			OCT 2 2009	2009										458							WOS:000270355600044		
J	Galitski, Victor; Spielman, Ian B.								Spin-orbit coupling in quantum gases								NATURE				494	7435			49	54		10.1038/nature11841			FEB 7 2013	2013										455							WOS:000314741200031		
J	Gaetan, Alpha; Miroshnychenko, Yevhen; Wilk, Tatjana; Chotia, Amodsen; Viteau, Matthieu; Comparat, Daniel; Pillet, Pierre; Browaeys, Antoine; Grangier, Philippe								Observation of collective excitation of two individual atoms in the Rydberg blockade regime								NATURE PHYSICS				5	2			115	118		10.1038/NPHYS1183			FEB 2009	2009										453							WOS:000263458500014		
J	Calabrese, P; Cardy, J								Evolution of entanglement entropy in one-dimensional systems								JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT										P04010	10.1088/1742-5468/2005/04/P04010			APR 2005	2005										449							WOS:000228865100005		
J	Manchon, A.; Koo, H. C.; Nitta, J.; Frolov, S. M.; Duine, R. A.								New perspectives for Rashba spin-orbit coupling								NATURE MATERIALS				14	9			871	882		10.1038/NMAT4360			SEP 2015	2015										439							WOS:000360192000018		
